onset,pitch,duration,staff
45.5,52,0.45,0.0
45.5,40,0.45,0.0
46.0,55,0.998,0.0
46.0,43,0.998,0.0
47.0,53,0.998,0.0
47.0,41,0.998,0.0
48.0,38,0.248,0.0
48.0,62,1.0,0.0
48.0,74,1.0,0.0
48.25,50,0.248,0.0
48.5,38,0.248,0.0
48.75,50,0.225,0.0
49.0,38,0.248,0.0
49.0,62,1.998,0.0
49.0,74,1.998,0.0
49.25,50,0.248,0.0
49.5,38,0.248,0.0
49.75,50,0.248,0.0
50.0,38,0.248,0.0
50.25,50,0.248,0.0
50.5,38,0.248,0.0
50.75,50,0.248,0.0
51.0,87,1.0,0.0
51.0,78,1.0,0.0
51.0,81,1.0,0.0
51.0,75,1.0,0.0
51.0,69,0.9,0.0
51.0,66,0.9,0.0
51.0,60,0.9,0.0
51.0,63,0.9,0.0
52.0,87,1.498,0.0
52.0,78,1.498,0.0
52.0,81,1.498,0.0
52.0,75,1.498,0.0
52.0,30,0.248,0.0
52.0,38,0.248,0.0
52.25,42,0.248,0.0
52.5,30,0.248,0.0
52.5,38,0.248,0.0
52.75,42,0.248,0.0
53.0,30,0.248,0.0
53.0,38,0.248,0.0
53.25,42,0.248,0.0
53.5,81,0.25,0.0
53.5,69,0.25,0.0
53.5,30,0.248,0.0
53.5,38,0.248,0.0
53.75,42,0.248,0.0
54.0,81,0.25,0.0
54.0,69,0.25,0.0
54.0,30,0.248,0.0
54.0,38,0.248,0.0
54.25,42,0.248,0.0
54.5,72,0.113,0.0
54.5,84,0.113,0.0
54.5,30,0.248,0.0
54.5,38,0.248,0.0
54.75,42,0.225,0.0
55.0,72,0.25,0.0
55.0,84,0.25,0.0
55.0,30,0.248,0.0
55.0,38,0.248,0.0
55.25,42,0.248,0.0
55.5,78,0.25,0.0
55.5,90,0.25,0.0
55.5,30,0.248,0.0
55.5,38,0.248,0.0
55.75,42,0.248,0.0
56.0,78,0.25,0.0
56.0,90,0.25,0.0
56.0,30,0.248,0.0
56.0,38,0.248,0.0
56.25,42,0.248,0.0
56.5,81,0.25,0.0
56.5,93,0.25,0.0
56.5,30,0.248,0.0
56.5,38,0.248,0.0
56.75,42,0.248,0.0
57.0,93,0.25,0.0
57.0,81,0.25,0.0
57.0,30,0.248,0.0
57.0,38,0.248,0.0
57.25,42,0.248,0.0
57.5,84,0.225,0.0
57.5,72,0.225,0.0
57.5,30,0.248,0.0
57.5,38,0.248,0.0
57.75,42,0.225,0.0
58.0,26,0.248,0.0
58.0,84,0.25,0.0
58.0,72,0.25,0.0
58.25,38,0.248,0.0
58.5,26,0.248,0.0
58.5,75,0.25,0.0
58.5,87,0.25,0.0
58.75,38,0.248,0.0
59.0,26,0.248,0.0
59.0,75,0.25,0.0
59.0,87,0.25,0.0
59.25,38,0.248,0.0
59.5,26,0.248,0.0
59.5,69,0.25,0.0
59.5,81,0.25,0.0
59.75,38,0.248,0.0
60.0,26,0.248,0.0
60.0,69,0.25,0.0
60.0,81,0.25,0.0
60.25,38,0.248,0.0
60.5,26,0.248,0.0
60.5,72,0.225,0.0
60.5,84,0.225,0.0
60.75,38,0.225,0.0
61.0,26,0.248,0.0
61.0,84,0.25,0.0
61.0,72,0.25,0.0
61.25,38,0.248,0.0
61.5,26,0.248,0.0
61.5,78,0.25,0.0
61.5,66,0.25,0.0
61.75,38,0.248,0.0
62.0,26,0.248,0.0
62.0,78,0.25,0.0
62.0,66,0.25,0.0
62.25,38,0.248,0.0
62.5,26,0.248,0.0
62.5,81,0.25,0.0
62.5,69,0.25,0.0
62.75,38,0.248,0.0
63.0,26,0.248,0.0
63.0,81,0.25,0.0
63.0,69,0.25,0.0
63.25,38,0.248,0.0
63.5,26,0.248,0.0
63.5,60,0.45,0.0
63.5,54,0.45,0.0
63.5,66,0.45,0.0
63.75,38,0.225,0.0
64.0,38,0.498,0.0
64.0,60,0.498,0.0
64.0,54,0.498,0.0
64.0,66,0.498,0.0
64.5,81,0.498,0.0
64.5,69,0.498,0.0
64.5,78,0.498,0.0
64.5,48,0.498,0.0
