0.000	0.836	0.0
0.836	48.390	-1.0
48.390	58.607	-1.0
58.607	71.146	-1.0
71.146	93.205	-1.0
93.205	181.534	-1.0
181.534	193.654	-1.0
193.654	205.961	-1.0
205.961	230.203	-1.0
230.203	243.252	-1.0
243.252	255.652	-1.0
255.652	267.122	-1.0
267.122	281.147	-1.0
281.147	315.884	-1.0
315.884	329.816	-1.0
329.816	384.337	-1.0
384.337	413.362	-1.0
413.362	426.504	-1.0
426.504	475.452	-1.0
475.452	491.706	-1.0
491.706	503.362	-1.0
503.362	526.257	-1.0
526.257	551.753	-1.0
551.753	561.598	-1.0
561.598	583.239	-1.0
583.239	583.260	0.0
