onset,pitch,duration,staff
35.0,64,0.498,0.0
35.0,60,0.498,0.0
35.0,55,0.498,0.0
35.5,86,0.446,0.0
35.5,83,0.446,0.0
35.5,74,0.446,0.0
35.5,65,0.446,0.0
35.5,62,0.446,0.0
35.5,56,0.446,0.0
36.0,84,0.998,0.0
36.0,81,0.998,0.0
36.0,72,0.998,0.0
36.0,64,0.998,0.0
36.0,60,0.998,0.0
36.0,57,0.998,0.0
37.0,88,0.998,0.0
37.0,84,0.998,0.0
37.0,81,0.998,0.0
37.0,76,0.998,0.0
37.0,72,0.998,0.0
37.0,69,0.998,0.0
37.0,64,0.998,0.0
37.0,60,0.998,0.0
38.0,69,0.998,0.0
38.0,65,0.998,0.0
38.0,60,0.998,0.0
38.0,53,0.998,0.0
38.0,41,0.998,0.0
39.0,89,0.998,0.0
39.0,86,0.998,0.0
39.0,81,0.998,0.0
39.0,77,0.998,0.0
39.0,72,0.998,0.0
39.0,69,0.998,0.0
39.0,65,0.998,0.0
39.0,60,0.998,0.0
40.0,88,1.998,0.0
40.0,84,1.998,0.0
40.0,76,1.998,0.0
40.0,64,2.498,0.0
40.0,60,2.498,0.0
40.0,55,2.498,0.0
42.0,88,0.998,0.0
42.0,84,0.998,0.0
42.0,76,0.998,0.0
42.5,67,0.498,0.0
42.5,55,0.498,0.0
43.0,88,0.935,0.0
43.0,84,0.935,0.0
43.0,76,0.935,0.0
43.0,64,0.498,0.0
43.0,52,0.498,0.0
43.5,60,0.435,0.0
43.5,48,0.435,0.0
44.0,89,1.998,0.0
44.0,83,1.998,0.0
44.0,77,1.998,0.0
44.0,55,0.498,0.0
44.0,43,0.498,0.0
44.5,57,0.248,0.0
44.5,45,0.248,0.0
44.75,59,0.248,0.0
44.75,47,0.248,0.0
45.0,60,0.248,0.0
45.0,48,0.248,0.0
45.25,62,0.248,0.0
45.25,50,0.248,0.0
45.5,64,0.248,0.0
45.5,52,0.248,0.0
45.75,66,0.248,0.0
45.75,54,0.248,0.0
46.0,83,1.935,0.0
46.0,77,1.935,0.0
46.0,74,1.935,0.0
46.0,71,1.935,0.0
46.0,67,1.498,0.0
46.0,55,1.498,0.0
47.5,43,0.123,0.0
47.625,41,0.123,0.0
47.75,40,0.123,0.0
47.875,38,0.098,0.0
48.0,84,0.998,0.0
48.0,76,0.998,0.0
48.0,72,0.998,0.0
48.0,60,0.998,0.0
48.0,48,0.998,0.0
51.0,55,0.748,0.0
51.75,59,0.2,0.0
52.0,60,2.998,0.0
52.0,55,0.496,0.0
52.0,52,0.496,0.0
52.0,48,0.496,0.0
52.0,36,0.496,0.0
55.0,55,0.748,0.0
55.75,59,0.2,0.0
56.0,60,0.246,0.0
56.0,55,0.498,0.0
56.0,52,0.498,0.0
56.0,48,0.496,0.0
56.0,36,0.496,0.0
56.5,60,0.246,0.0
57.0,55,0.246,0.0
57.5,59,0.246,0.0
58.0,60,0.246,0.0
58.0,55,0.498,0.0
58.0,52,0.498,0.0
58.0,48,0.496,0.0
58.0,36,0.496,0.0
58.5,60,0.246,0.0
59.0,55,0.246,0.0
59.5,59,0.246,0.0
60.0,60,0.496,0.0
60.0,55,0.496,0.0
60.0,52,0.496,0.0
60.0,48,0.496,0.0
60.0,36,0.496,0.0
61.0,64,0.496,0.0
62.0,67,0.496,0.0
63.0,72,0.496,0.0
64.0,84,3.998,0.0
64.0,76,3.998,0.0
64.0,72,3.998,0.0
64.0,67,3.998,0.0
64.0,60,3.998,0.0
68.0,85,3.685,0.0
68.0,79,3.685,0.0
68.0,76,3.685,0.0
68.0,73,3.685,0.0
68.0,67,3.685,0.0
68.0,64,3.685,0.0
68.0,57,3.685,0.0
71.0,45,0.248,0.0
71.25,43,0.248,0.0
71.5,41,0.248,0.0
71.75,40,0.2,0.0
72.0,86,0.998,0.0
72.0,77,0.998,0.0
72.0,74,0.998,0.0
72.0,50,0.998,0.0
72.0,38,0.998,0.0
75.0,57,0.748,0.0
75.75,61,0.248,0.0
76.0,62,2.998,0.0
76.0,57,0.496,0.0
76.0,53,0.496,0.0
76.0,50,0.496,0.0
76.0,38,0.496,0.0
79.0,57,0.748,0.0
79.75,61,0.2,0.0
80.0,62,0.246,0.0
80.0,57,0.498,0.0
80.0,53,0.498,0.0
80.0,50,0.496,0.0
80.0,38,0.496,0.0
80.5,62,0.246,0.0
81.0,57,0.246,0.0
