0.000	2.786	4.0
2.786	57.957	2.0
57.957	91.394	1.0
91.394	163.979	0.0
163.979	216.178	1.0
216.178	269.398	0.0
269.398	308.593	1.0
308.593	354.104	3.0
354.104	402.170	2.0
402.170	435.885	2.0
435.885	487.387	2.0
487.387	487.422	4.0

0.000	3.234	4.0
2.786	57.957	1.0
57.957	91.394	3.0
91.394	110.713	2.0
110.713	163.979	1.0
163.979	216.178	3.0
216.178	269.398	1.0
269.398	308.593	3.0
308.593	354.104	0.0
354.104	402.170	1.0
402.170	435.885	2.0
435.885	487.387	2.0
487.387	487.422	4.0

0.000	2.786	4.0
2.786	57.957	2.0
57.957	91.394	1.0
91.394	110.713	0.0
110.713	163.979	3.0
163.979	196.812	1.0
196.812	216.178	0.0
216.178	269.398	3.0
269.398	308.593	1.0
308.593	354.104	1.0
354.104	402.170	3.0
402.170	435.885	2.0
435.885	487.387	1.0
487.387	487.422	4.0

0.000	2.786	4.0
2.786	57.957	0.0
57.957	91.394	3.0
91.394	110.713	1.0
110.713	163.979	2.0
163.979	196.812	3.0
196.812	216.178	1.0
216.178	269.398	2.0
269.398	308.593	3.0
308.593	354.104	3.0
354.104	384.894	3.0
384.894	402.170	1.0
402.170	435.885	0.0
435.885	487.387	3.0
487.387	487.422	4.0

0.000	2.786	4.0
2.786	57.957	0.0
57.957	91.394	0.0
91.394	110.713	2.0
110.713	163.979	0.0
163.979	196.812	0.0
196.812	216.178	2.0
216.178	235.729	1.0
235.729	269.398	0.0
269.398	308.593	0.0
308.593	354.104	3.0
354.104	384.894	0.0
384.894	402.170	1.0
402.170	435.885	0.0
435.885	487.387	0.0
487.387	487.422	4.0

0.000	2.786	4.0
2.786	57.957	0.0
57.957	91.394	0.0
91.394	110.713	1.0
110.713	130.264	3.0
130.264	163.979	2.0
163.979	196.812	0.0
196.812	216.178	1.0
216.178	235.729	3.0
235.729	269.398	2.0
269.398	308.593	0.0
308.593	354.104	0.0
354.104	384.894	0.0
384.894	402.170	3.0
402.170	435.885	3.0
435.885	487.387	0.0
487.387	487.422	4.0

0.000	2.786	4.0
2.786	57.957	2.0
57.957	91.394	2.0
91.394	110.713	3.0
110.713	130.264	0.0
130.264	163.979	1.0
163.979	196.812	2.0
196.812	216.178	3.0
216.178	235.729	0.0
235.729	269.398	1.0
269.398	308.593	2.0
308.593	354.104	2.0
354.104	384.894	2.0
384.894	402.170	0.0
402.170	435.885	0.0
435.885	461.845	0.0
461.845	487.387	3.0
487.387	487.422	4.0

0.000	2.786	4.0
2.786	57.957	0.0
57.957	91.394	1.0
91.394	110.713	3.0
110.713	130.264	2.0
130.264	163.979	1.0
163.979	196.812	1.0
196.812	216.178	3.0
216.178	235.729	2.0
235.729	269.398	1.0
269.398	308.593	1.0
308.593	334.274	1.0
334.274	354.104	2.0
354.104	384.894	1.0
384.894	402.170	2.0
402.170	435.885	0.0
435.885	461.845	2.0
461.845	487.387	3.0
487.387	487.422	4.0

0.000	2.786	4.0
2.786	23.545	2.0
23.545	57.957	2.0
57.957	91.394	3.0
91.394	110.713	0.0
110.713	130.264	1.0
130.264	163.979	2.0
163.979	196.812	3.0
196.812	216.178	0.0
216.178	235.729	1.0
235.729	269.398	2.0
269.398	308.593	3.0
308.593	334.274	3.0
334.274	354.104	1.0
354.104	384.894	3.0
384.894	402.170	1.0
402.170	435.885	3.0
435.885	461.845	1.0
461.845	487.387	0.0
487.387	487.422	4.0

0.000	2.786	4.0
2.786	23.545	2.0
23.545	57.957	2.0
57.957	91.394	0.0
91.394	110.713	1.0
110.713	130.264	3.0
130.264	163.979	2.0
163.979	196.812	0.0
196.812	216.178	1.0
216.178	235.729	3.0
235.729	269.398	2.0
269.398	308.593	0.0
308.593	334.274	0.0
334.274	345.884	1.0
345.884	354.104	3.0
354.104	384.894	0.0
384.894	402.170	3.0
402.170	435.885	0.0
435.885	461.845	3.0
461.845	487.387	1.0
487.387	487.422	4.0

0.000	2.786	4.0
2.786	23.545	1.0
23.545	57.957	1.0
57.957	91.394	3.0
91.394	110.713	2.0
110.713	130.264	0.0
130.264	163.979	1.0
163.979	196.812	3.0
196.812	216.178	2.0
216.178	235.729	0.0
235.729	255.373	2.0
255.373	269.398	2.0
269.398	308.593	3.0
308.593	334.274	1.0
334.274	345.884	2.0
345.884	354.104	2.0
354.104	384.894	3.0
384.894	402.170	0.0
402.170	435.885	1.0
435.885	461.845	0.0
461.845	487.387	2.0
487.387	487.422	4.0

0.000	2.786	4.0
2.786	23.545	0.0
23.545	57.957	0.0
57.957	91.394	2.0
91.394	110.713	1.0
110.713	130.264	0.0
130.264	163.979	2.0
163.979	196.812	2.0
196.812	216.178	1.0
216.178	235.729	0.0
235.729	244.599	3.0
244.599	255.373	3.0
255.373	269.398	3.0
269.398	308.593	2.0
308.593	334.274	2.0
334.274	345.884	3.0
345.884	354.104	3.0
354.104	384.894	2.0
384.894	402.170	0.0
402.170	435.885	0.0
435.885	461.845	0.0
461.845	487.387	3.0
