onset,pitch,duration,staff
0.75,66,0.25,0.0
0.75,78,0.25,0.0
0.75,90,0.25,0.0
1.0,67,0.05,0.0
1.0,79,0.05,0.0
1.0,91,0.05,0.0
1.75,61,0.25,0.0
1.75,49,0.25,0.0
2.0,61,0.125,0.0
2.0,49,0.125,0.0
2.125,62,0.125,0.0
2.125,50,0.125,0.0
2.25,61,0.125,0.0
2.25,49,0.125,0.0
2.375,62,0.125,0.0
2.375,50,0.125,0.0
2.5,61,0.125,0.0
2.5,49,0.125,0.0
2.625,62,0.125,0.0
2.625,50,0.125,0.0
2.75,59,0.125,0.0
2.75,47,0.125,0.0
2.875,61,0.125,0.0
2.875,49,0.125,0.0
3.0,64,0.05,0.0
3.0,40,0.05,0.0
3.0,52,0.05,0.0
3.5,57,0.05,0.0
3.5,33,0.05,0.0
3.5,45,0.05,0.0
4.5,69,0.033,0.0
4.5,67,0.5,0.0
4.75,69,0.033,0.0
5.0,74,0.25,0.0
5.0,66,1.0,0.0
5.25,69,0.75,0.0
5.5,78,0.033,0.0
5.75,78,0.033,0.0
6.0,76,0.25,0.0
6.0,61,1.0,0.0
6.25,69,0.75,0.0
6.5,79,0.033,0.0
6.75,79,0.033,0.0
7.0,78,0.25,0.0
7.0,62,1.0,0.0
7.25,69,0.75,0.0
7.5,81,0.033,0.0
7.5,66,0.5,0.0
7.75,81,0.033,0.0
8.0,81,0.25,0.0
8.0,71,1.0,0.0
8.0,55,1.0,0.0
8.0,67,1.0,0.0
8.25,79,0.25,0.0
8.5,78,0.033,0.0
8.75,76,0.033,0.0
9.0,76,0.25,0.0
9.0,69,1.0,0.0
9.0,66,1.0,0.0
9.0,57,2.0,0.0
9.25,74,0.25,0.0
9.5,74,0.033,0.0
9.75,74,0.033,0.0
10.0,74,0.25,0.0
10.0,67,1.0,0.0
10.0,64,1.0,0.0
10.25,73,0.25,0.0
10.5,71,0.033,0.0
10.75,73,0.033,0.0
11.0,66,0.05,0.0
11.0,74,0.05,0.0
11.0,50,0.5,0.0
11.0,62,0.5,0.0
11.5,64,0.05,0.0
11.5,69,0.05,0.0
11.5,73,0.05,0.0
11.5,76,0.05,0.0
11.5,45,0.5,0.0
11.5,57,0.5,0.0
12.75,66,0.25,0.0
12.75,78,0.25,0.0
12.75,90,0.25,0.0
13.0,67,0.05,0.0
13.0,79,0.05,0.0
13.0,91,0.05,0.0
13.75,61,0.25,0.0
13.75,49,0.25,0.0
14.0,61,0.125,0.0
14.0,49,0.125,0.0
14.125,62,0.125,0.0
14.125,50,0.125,0.0
14.25,61,0.125,0.0
14.25,49,0.125,0.0
14.375,62,0.125,0.0
14.375,50,0.125,0.0
14.5,61,0.125,0.0
14.5,49,0.125,0.0
14.625,62,0.125,0.0
14.625,50,0.125,0.0
14.75,59,0.125,0.0
14.75,47,0.125,0.0
14.875,61,0.125,0.0
14.875,49,0.125,0.0
15.0,64,0.05,0.0
15.0,40,0.05,0.0
15.0,52,0.05,0.0
15.5,57,0.05,0.0
15.5,33,0.05,0.0
15.5,45,0.05,0.0
16.5,69,0.033,0.0
16.5,67,0.5,0.0
16.75,69,0.033,0.0
17.0,74,0.25,0.0
17.0,66,1.0,0.0
17.25,69,0.75,0.0
17.5,78,0.033,0.0
17.75,78,0.033,0.0
18.0,76,0.25,0.0
18.0,61,1.0,0.0
