onset,pitch,duration,staff
11.0,82,0.113,0.0
11.0,78,0.225,0.0
11.0,74,0.225,0.0
11.0,62,0.135,0.0
11.0,60,0.135,0.0
11.0,57,0.135,0.0
11.0,50,0.135,0.0
11.125,81,0.113,0.0
11.25,81,0.056,0.0
11.25,78,0.113,0.0
11.25,74,0.113,0.0
11.25,62,0.135,0.0
11.25,60,0.135,0.0
11.25,57,0.135,0.0
11.25,50,0.135,0.0
11.375,82,0.056,0.0
11.5,84,0.113,0.0
11.5,78,0.113,0.0
11.5,74,0.113,0.0
11.5,62,0.135,0.0
11.5,57,0.135,0.0
11.5,54,0.135,0.0
11.5,50,0.135,0.0
11.75,81,0.056,0.0
11.75,78,0.113,0.0
11.75,74,0.113,0.0
11.75,62,0.135,0.0
11.75,57,0.135,0.0
11.75,54,0.135,0.0
11.75,50,0.135,0.0
11.875,82,0.113,0.0
12.0,79,0.225,0.0
12.0,74,0.225,0.0
12.0,70,0.225,0.0
12.0,62,0.135,0.0
12.0,58,0.135,0.0
12.0,55,0.135,0.0
12.0,50,0.135,0.0
12.25,62,0.135,0.0
12.25,58,0.135,0.0
12.25,55,0.135,0.0
12.25,50,0.135,0.0
12.5,62,0.135,0.0
12.5,58,0.135,0.0
12.5,55,0.135,0.0
12.5,50,0.135,0.0
12.75,67,0.135,0.0
12.75,62,0.135,0.0
12.75,58,0.135,0.0
12.75,31,0.056,0.0
12.75,43,0.056,0.0
12.875,33,0.056,0.0
12.875,45,0.056,0.0
13.0,67,0.135,0.0
13.0,62,0.135,0.0
13.0,58,0.135,0.0
13.0,34,0.113,0.0
13.0,46,0.113,0.0
13.25,67,0.135,0.0
13.25,62,0.135,0.0
13.25,58,0.135,0.0
13.25,34,0.056,0.0
13.25,46,0.056,0.0
13.375,36,0.056,0.0
13.375,48,0.056,0.0
13.5,67,0.135,0.0
13.5,62,0.135,0.0
13.5,58,0.135,0.0
13.5,38,0.113,0.0
13.5,50,0.113,0.0
13.75,67,0.135,0.0
13.75,62,0.135,0.0
13.75,58,0.135,0.0
13.75,38,0.056,0.0
13.75,50,0.056,0.0
13.875,34,0.056,0.0
13.875,46,0.056,0.0
14.0,67,0.135,0.0
14.0,63,0.135,0.0
14.0,58,0.135,0.0
14.0,51,0.225,0.0
14.0,39,0.225,0.0
14.25,67,0.135,0.0
14.25,63,0.135,0.0
14.25,58,0.135,0.0
14.5,67,0.135,0.0
14.5,63,0.135,0.0
14.5,58,0.135,0.0
14.75,67,0.135,0.0
14.75,63,0.135,0.0
14.75,58,0.135,0.0
14.75,55,0.135,0.0
15.0,67,0.135,0.0
15.0,63,0.135,0.0
15.0,58,0.135,0.0
15.0,55,0.135,0.0
15.25,67,0.135,0.0
15.25,63,0.135,0.0
15.25,58,0.135,0.0
15.25,55,0.135,0.0
15.5,67,0.135,0.0
15.5,63,0.135,0.0
15.5,58,0.135,0.0
15.5,55,0.135,0.0
15.75,81,0.056,0.0
15.75,67,0.135,0.0
15.75,63,0.135,0.0
15.75,58,0.135,0.0
15.75,55,0.135,0.0
15.875,84,0.056,0.0
16.0,82,0.113,0.0
16.0,70,0.225,0.0
16.0,67,0.135,0.0
16.0,63,0.135,0.0
16.0,58,0.135,0.0
16.0,55,0.135,0.0
16.25,81,0.056,0.0
16.25,67,0.135,0.0
16.25,63,0.135,0.0
16.25,58,0.135,0.0
16.25,55,0.135,0.0
16.375,84,0.113,0.0
16.5,82,0.225,0.0
16.5,70,0.225,0.0
16.5,67,0.135,0.0
16.5,63,0.135,0.0
16.5,58,0.135,0.0
16.5,55,0.135,0.0
16.75,81,0.113,0.0
16.75,75,0.113,0.0
16.75,69,0.113,0.0
16.75,53,0.225,0.0
16.75,41,0.225,0.0
16.875,84,0.113,0.0
16.875,72,0.113,0.0
17.0,87,0.675,0.0
17.0,75,0.675,0.0
17.0,53,0.675,0.0
17.0,63,0.675,0.0
17.0,57,0.675,0.0
17.75,84,0.056,0.0
17.75,72,0.056,0.0
17.75,63,0.113,0.0
17.75,60,0.113,0.0
17.75,53,0.113,0.0
17.875,82,0.113,0.0
17.875,70,0.113,0.0
18.0,81,0.113,0.0
18.0,69,0.113,0.0
18.0,63,0.113,0.0
18.0,60,0.113,0.0
18.0,53,0.113,0.0
18.25,82,0.056,0.0
18.25,70,0.056,0.0
18.25,60,0.113,0.0
18.25,57,0.113,0.0
18.25,53,0.113,0.0
18.375,84,0.056,0.0
18.375,72,0.056,0.0
18.5,77,0.113,0.0
18.5,65,0.113,0.0
18.5,60,0.113,0.0
18.5,57,0.113,0.0
18.5,53,0.113,0.0
18.75,79,0.056,0.0
18.75,67,0.056,0.0
18.75,60,0.113,0.0
18.75,57,0.113,0.0
18.75,53,0.113,0.0
18.875,81,0.056,0.0
18.875,69,0.056,0.0
19.0,82,0.225,0.0
19.0,70,0.225,0.0
19.0,62,0.113,0.0
19.0,58,0.113,0.0
19.0,53,0.113,0.0
19.25,53,0.056,0.0
19.25,65,0.113,0.0
19.25,62,0.113,0.0
19.375,55,0.056,0.0
19.5,46,0.113,0.0
19.5,65,0.113,0.0
19.5,62,0.113,0.0
19.75,77,0.113,0.0
19.75,65,0.113,0.0
19.75,62,0.113,0.0
19.75,58,0.113,0.0
19.875,79,0.056,0.0
20.0,72,0.113,0.0
20.0,65,0.113,0.0
20.0,63,0.113,0.0
20.0,60,0.113,0.0
20.25,45,0.056,0.0
20.25,65,0.113,0.0
20.25,63,0.113,0.0
20.25,60,0.113,0.0
20.375,48,0.056,0.0
20.5,41,0.113,0.0
20.5,65,0.113,0.0
20.5,63,0.113,0.0
20.5,60,0.113,0.0
20.75,75,0.056,0.0
20.75,65,0.113,0.0
20.75,63,0.113,0.0
20.75,60,0.113,0.0
20.875,77,0.056,0.0
21.0,74,0.113,0.0
21.0,65,0.113,0.0
21.0,62,0.113,0.0
21.0,58,0.113,0.0
21.25,46,0.056,0.0
21.25,65,0.113,0.0
21.25,62,0.113,0.0
21.25,58,0.113,0.0
21.375,50,0.056,0.0
21.5,41,0.113,0.0
21.5,65,0.113,0.0
21.5,62,0.113,0.0
21.5,58,0.113,0.0
21.75,74,0.056,0.0
21.75,65,0.113,0.0
21.75,62,0.113,0.0
21.75,58,0.113,0.0
21.875,75,0.056,0.0
22.0,72,0.113,0.0
22.0,65,0.225,0.0
22.0,69,0.225,0.0
22.0,63,0.225,0.0
22.0,60,0.225,0.0
22.0,53,0.225,0.0
22.25,72,0.056,0.0
22.25,65,0.225,0.0
22.25,69,0.225,0.0
22.25,63,0.225,0.0
22.25,60,0.225,0.0
22.25,53,0.225,0.0
22.375,74,0.056,0.0
22.5,72,0.113,0.0
22.5,65,0.225,0.0
22.5,69,0.225,0.0
22.5,63,0.225,0.0
22.5,60,0.225,0.0
22.5,53,0.225,0.0
22.75,72,0.056,0.0
22.75,65,0.225,0.0
22.75,69,0.225,0.0
22.75,63,0.225,0.0
22.75,60,0.225,0.0
22.75,53,0.225,0.0
22.875,74,0.056,0.0
23.0,70,0.113,0.0
23.0,65,0.225,0.0
23.0,65,0.225,0.0
23.0,62,0.225,0.0
23.0,58,0.225,0.0
23.25,53,0.056,0.0
23.25,65,0.225,0.0
23.25,62,0.225,0.0
23.25,58,0.225,0.0
23.375,55,0.056,0.0
23.5,46,0.113,0.0
23.5,65,0.225,0.0
23.5,62,0.225,0.0
23.5,58,0.225,0.0
23.75,77,0.056,0.0
23.75,65,0.225,0.0
23.75,62,0.225,0.0
23.75,58,0.225,0.0
23.875,79,0.113,0.0
24.0,79,0.113,0.0
24.0,65,0.113,0.0
24.0,63,0.225,0.0
24.0,60,0.225,0.0
24.125,72,0.113,0.0
24.125,67,0.113,0.0
24.25,45,0.056,0.0
24.25,65,0.225,0.0
24.25,63,0.225,0.0
24.25,60,0.225,0.0
24.375,48,0.056,0.0
24.5,41,0.113,0.0
24.5,65,0.225,0.0
24.5,63,0.225,0.0
24.5,60,0.225,0.0
24.75,75,0.056,0.0
24.75,65,0.225,0.0
24.75,63,0.225,0.0
24.75,60,0.225,0.0
24.875,77,0.113,0.0
25.0,77,0.113,0.0
25.0,65,0.113,0.0
25.0,62,0.225,0.0
25.0,58,0.225,0.0
25.125,70,0.113,0.0
25.125,67,0.113,0.0
25.25,46,0.056,0.0
25.25,65,0.225,0.0
25.25,62,0.225,0.0
25.25,58,0.225,0.0
25.375,50,0.056,0.0
25.5,46,0.113,0.0
25.5,65,0.225,0.0
25.5,62,0.225,0.0
25.5,58,0.225,0.0
25.75,79,0.056,0.0
25.75,75,0.056,0.0
25.75,67,0.056,0.0
25.75,63,0.113,0.0
25.75,58,0.113,0.0
25.75,51,0.113,0.0
25.875,81,0.056,0.0
25.875,77,0.056,0.0
25.875,69,0.056,0.0
26.0,77,0.225,0.0
26.0,74,0.225,0.0
26.0,65,0.225,0.0
26.0,62,0.113,0.0
26.0,46,0.113,0.0
26.25,79,0.056,0.0
26.25,75,0.056,0.0
26.25,67,0.056,0.0
26.25,63,0.113,0.0
26.25,58,0.113,0.0
26.25,51,0.113,0.0
26.375,81,0.056,0.0
26.375,77,0.056,0.0
26.375,69,0.056,0.0
26.5,77,0.113,0.0
26.5,74,0.113,0.0
26.5,65,0.113,0.0
26.5,62,0.113,0.0
26.5,46,0.113,0.0
26.75,79,0.113,0.0
26.75,75,0.113,0.0
26.75,67,0.113,0.0
26.75,63,0.113,0.0
26.75,58,0.113,0.0
26.75,51,0.113,0.0
26.875,81,0.113,0.0
26.875,77,0.113,0.0
26.875,69,0.113,0.0
27.0,77,0.225,0.0
27.0,74,0.225,0.0
27.0,65,0.225,0.0
27.0,62,0.225,0.0
27.0,46,0.225,0.0
27.75,57,0.056,0.0
27.75,63,0.056,0.0
27.75,72,0.056,0.0
27.875,53,0.056,0.0
27.875,65,0.056,0.0
27.875,74,0.056,0.0
28.0,58,0.113,0.0
28.0,62,0.113,0.0
28.0,70,0.113,0.0
28.25,57,0.056,0.0
28.25,63,0.056,0.0
28.25,72,0.056,0.0
28.375,53,0.056,0.0
28.375,65,0.056,0.0
28.375,74,0.056,0.0
28.5,58,0.113,0.0
28.5,62,0.113,0.0
28.5,70,0.113,0.0
28.75,57,0.056,0.0
28.75,63,0.056,0.0
28.75,72,0.056,0.0
28.875,53,0.056,0.0
28.875,65,0.056,0.0
28.875,74,0.056,0.0
29.0,58,0.113,0.0
29.0,62,0.113,0.0
29.0,70,0.113,0.0
29.25,58,0.113,0.0
29.25,62,0.113,0.0
29.25,65,0.113,0.0
29.5,58,0.113,0.0
29.5,62,0.113,0.0
29.5,65,0.113,0.0
29.75,79,0.056,0.0
29.75,75,0.056,0.0
29.75,67,0.056,0.0
29.75,63,0.113,0.0
29.75,58,0.113,0.0
29.75,51,0.113,0.0
29.875,81,0.056,0.0
29.875,77,0.056,0.0
29.875,69,0.056,0.0
30.0,77,0.113,0.0
30.0,74,0.113,0.0
30.0,65,0.113,0.0
30.0,62,0.113,0.0
30.0,46,0.113,0.0
30.25,79,0.056,0.0
30.25,75,0.056,0.0
30.25,67,0.056,0.0
30.25,63,0.113,0.0
30.25,58,0.113,0.0
30.25,51,0.113,0.0
30.375,81,0.056,0.0
30.375,77,0.056,0.0
30.375,69,0.056,0.0
30.5,77,0.113,0.0
30.5,74,0.113,0.0
30.5,65,0.113,0.0
30.5,62,0.113,0.0
30.5,46,0.113,0.0
30.75,79,0.056,0.0
30.75,75,0.056,0.0
30.75,67,0.056,0.0
30.75,51,0.113,0.0
30.75,63,0.113,0.0
30.75,58,0.113,0.0
30.875,81,0.056,0.0
30.875,77,0.056,0.0
30.875,69,0.056,0.0
31.0,77,0.225,0.0
31.0,74,0.225,0.0
31.0,65,0.225,0.0
31.0,62,0.225,0.0
31.0,46,0.225,0.0
31.75,79,0.113,0.0
31.75,75,0.113,0.0
31.75,67,0.113,0.0
31.75,63,0.113,0.0
31.75,58,0.113,0.0
31.75,51,0.113,0.0
31.875,81,0.056,0.0
31.875,77,0.056,0.0
31.875,69,0.056,0.0
32.0,77,0.225,0.0
32.0,74,0.225,0.0
32.0,65,0.225,0.0
32.0,62,0.225,0.0
32.0,46,0.225,0.0
32.75,79,0.113,0.0
32.75,75,0.113,0.0
32.75,67,0.113,0.0
32.75,63,0.113,0.0
32.75,58,0.113,0.0
32.75,51,0.113,0.0
32.875,81,0.113,0.0
32.875,77,0.113,0.0
32.875,69,0.113,0.0
33.0,77,0.225,0.0
33.0,74,0.225,0.0
33.0,65,0.225,0.0
33.0,62,0.225,0.0
33.0,46,0.225,0.0
33.75,79,0.113,0.0
33.75,75,0.113,0.0
33.75,70,0.113,0.0
33.75,63,0.113,0.0
33.75,67,0.113,0.0
33.875,81,0.056,0.0
33.875,77,0.056,0.0
33.875,70,0.056,0.0
33.875,65,0.056,0.0
33.875,69,0.056,0.0
34.0,77,0.113,0.0
34.0,74,0.113,0.0
34.0,70,0.113,0.0
34.0,62,0.113,0.0
34.0,65,0.113,0.0
34.25,45,0.056,0.0
34.25,82,0.113,0.0
34.25,74,0.113,0.0
34.25,70,0.113,0.0
34.375,48,0.056,0.0
34.5,46,0.113,0.0
34.5,82,0.113,0.0
34.5,74,0.113,0.0
34.5,70,0.113,0.0
34.75,57,0.056,0.0
34.75,82,0.113,0.0
34.75,74,0.113,0.0
34.75,70,0.113,0.0
34.875,60,0.056,0.0
35.0,58,0.113,0.0
35.0,82,0.113,0.0
35.0,74,0.113,0.0
35.0,70,0.113,0.0
35.25,69,0.056,0.0
35.25,82,0.113,0.0
35.25,74,0.113,0.0
35.375,72,0.056,0.0
35.5,70,0.113,0.0
35.5,82,0.113,0.0
35.5,74,0.113,0.0
35.75,81,0.056,0.0
35.75,70,0.113,0.0
35.875,84,0.056,0.0
36.0,82,0.113,0.0
36.0,79,0.113,0.0
36.0,72,0.113,0.0
36.0,70,0.113,0.0
36.25,47,0.056,0.0
36.25,82,0.113,0.0
36.25,79,0.113,0.0
36.25,70,0.113,0.0
36.375,50,0.056,0.0
36.5,48,0.113,0.0
36.5,82,0.113,0.0
36.5,79,0.113,0.0
36.5,70,0.113,0.0
36.75,59,0.056,0.0
36.75,82,0.113,0.0
36.75,79,0.113,0.0
36.75,70,0.113,0.0
36.875,62,0.056,0.0
37.0,60,0.113,0.0
37.0,82,0.113,0.0
37.0,79,0.113,0.0
37.0,70,0.113,0.0
37.25,71,0.056,0.0
37.25,82,0.113,0.0
37.25,79,0.113,0.0
37.25,70,0.113,0.0
37.375,74,0.056,0.0
37.5,72,0.113,0.0
37.5,82,0.113,0.0
37.5,79,0.113,0.0
37.5,70,0.113,0.0
37.75,81,0.056,0.0
37.75,69,0.056,0.0
37.875,84,0.056,0.0
37.875,72,0.056,0.0
38.0,82,0.675,0.0
38.0,70,0.675,0.0
38.0,60,0.225,0.0
38.0,58,0.225,0.0
38.25,47,0.056,0.0
38.25,60,0.225,0.0
38.25,58,0.225,0.0
38.375,50,0.056,0.0
38.5,48,0.113,0.0
38.5,60,0.225,0.0
38.5,58,0.225,0.0
