onset,pitch,duration,staff
42.0,55,0.498,0.0
42.0,39,0.45,0.0
42.0,87,1.998,0.0
42.0,75,1.998,0.0
42.5,58,0.25,0.0
42.5,55,0.25,0.0
42.5,51,0.25,0.0
43.0,58,0.25,0.0
43.0,55,0.25,0.0
43.0,51,0.25,0.0
43.5,58,0.25,0.0
43.5,55,0.25,0.0
43.5,51,0.25,0.0
44.0,91,0.9,0.0
44.0,79,0.9,0.0
44.0,58,0.25,0.0
44.0,55,0.25,0.0
44.0,51,0.25,0.0
44.5,58,0.225,0.0
44.5,55,0.225,0.0
44.5,51,0.225,0.0
45.0,87,1.998,0.0
45.0,75,1.998,0.0
45.0,58,0.25,0.0
45.0,55,0.25,0.0
45.0,51,0.25,0.0
45.5,58,0.25,0.0
45.5,55,0.25,0.0
45.5,51,0.25,0.0
46.0,58,0.25,0.0
46.0,55,0.25,0.0
46.0,51,0.25,0.0
46.5,58,0.25,0.0
46.5,55,0.25,0.0
46.5,51,0.25,0.0
47.0,82,0.9,0.0
47.0,70,0.9,0.0
47.0,58,0.25,0.0
47.0,55,0.25,0.0
47.0,51,0.25,0.0
47.5,58,0.225,0.0
47.5,55,0.225,0.0
47.5,51,0.225,0.0
48.0,87,0.998,0.0
48.0,75,0.998,0.0
48.0,58,0.25,0.0
48.0,55,0.25,0.0
48.0,51,0.25,0.0
48.5,58,0.25,0.0
48.5,55,0.25,0.0
48.5,51,0.25,0.0
49.0,67,0.998,0.0
49.0,58,0.25,0.0
49.0,55,0.25,0.0
49.0,51,0.25,0.0
49.5,58,0.25,0.0
49.5,55,0.25,0.0
49.5,51,0.25,0.0
50.0,70,0.9,0.0
50.0,58,0.25,0.0
50.0,55,0.25,0.0
50.0,51,0.25,0.0
50.5,58,0.225,0.0
50.5,55,0.225,0.0
50.5,51,0.225,0.0
51.0,63,1.998,0.0
51.0,58,0.498,0.0
51.0,55,0.498,0.0
51.5,58,0.498,0.0
51.5,55,0.498,0.0
52.0,61,0.498,0.0
52.0,58,0.498,0.0
52.0,55,0.498,0.0
52.5,61,0.498,0.0
52.5,58,0.498,0.0
52.5,55,0.498,0.0
53.0,48,0.9,0.0
53.0,76,0.9,0.0
53.0,64,0.9,0.0
53.0,60,0.498,0.0
53.0,58,0.498,0.0
53.0,55,0.498,0.0
53.5,60,0.45,0.0
53.5,58,0.45,0.0
53.5,55,0.45,0.0
54.0,53,0.998,0.0
54.0,65,0.998,0.0
54.0,77,0.998,0.0
54.0,60,0.498,0.0
54.0,56,0.498,0.0
54.5,60,0.998,0.0
54.5,56,0.998,0.0
